Season,Tillage,Herb1,Herb2,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,1,1,1,0.0266849208789926,266.847597052746,0.000616044859352239,0.000866155781144984,5.63215099398757e-05,1.30766396538682e-10,1.83864778497275e-10,7.32143055052018e-05,1.70074491680539e-10,2.39135051754357e-10,4.40015838744996e-06,3.7989854817249e-07,99999.9881159424,0.00347826052780589,0.00246376807263232,0.00347826052780589,1.20982977370612e-10,8.56962825512494e-11,0.00246376807263232,8.56962825512495e-11,6.07015383710295e-11,4.20289858627271e-08,4.20289858627271e-08,9999.99881159424,0.000347826052780589,0.000246376807263232,0.000347826052780589,1.20982977370612e-11,8.56962825512495e-12,0.000246376807263232,8.56962825512495e-12,6.07015383710295e-12,4.20289858627271e-08,4.20289858627271e-08
2,1,1,1,0.00149487546563113,14.9304839773986,0.00381502493611059,0.0144033742209926,1.38263425697045e-05,6.79094997114748e-09,1.14119096868842e-08,3.83837230946624e-05,8.51320831496247e-09,4.29738290082079e-08,0.00109112425094082,3.03419809137861e-06,243987.235413514,0.278347015212186,0.545722082490726,0.0299752406136913,7.62569225334571e-08,6.00802572704053e-08,0.0476169488936573,4.70861209131431e-08,1.29891147317764e-07,2.80708664753193e-06,2.56589582988977e-07,106.739038821098,0.000246417943740896,0.000346462312457994,2.25286039759503e-05,5.23065586154729e-11,7.354591139891e-11,2.92857222020807e-05,6.80297966722157e-11,9.5654020701743e-11,4.40015838744996e-06,3.7989854817249e-07
3,1,1,1,0.000525440299906613,5.00242031797287,0.0316924082261976,0.220246663331466,7.01893440864987e-06,5.98321568082364e-07,6.15726556104736e-07,2.88082553721273e-05,4.25038343236816e-07,6.14325935090174e-06,0.0449337704307015,7.51618106561364e-06,100455.41926464,2.39401915560082,8.26968927410534,0.0185381191453587,6.98590473705964e-06,3.15590246192669e-06,0.0394172047499356,2.34841713138619e-06,1.80714053463056e-05,9.42280121045167e-05,4.84857431406598e-07,5.97219359095944,0.00152600997444424,0.00576134968839705,5.53053702788182e-06,2.71637998845899e-09,4.5647638747537e-09,1.53534892378649e-05,3.40528332598499e-09,1.71895316032832e-08,0.00109112425094082,3.03419809137861e-06
4,1,1,1,0.000561282766604094,2.00278168615192,0.335388651867431,3.27370838527802,4.13113104200909e-06,4.70808782275932e-05,3.70311430940726e-05,2.21487407064508e-05,2.38274203424105e-05,0.000814723430147763,0.613289793442441,0.000161205941321317,40464.1812270919,25.8848669468688,122.530053309566,0.0111637212556643,0.000546069765959852,0.000193789761912885,0.0304619518719585,0.000134589391638231,0.00237174724754615,0.00333579371470775,9.58324253881805e-07,2.00096812718915,0.012676963290479,0.0880986653325863,2.80757376345995e-06,2.39328627232946e-07,2.46290622441895e-07,1.15233021488509e-05,1.70015337294726e-07,2.4573037403607e-06,0.0449337704307016,7.51618106561364e-06
5,1,1,1,0.00530533953106824,0.806513779942394,2.69693985304454,49.434658934924,3.46338879564648e-06,0.00243242972715757,0.00618624453302621,1.94329578180977e-05,0.0014720820785379,0.105169090086152,0.959343622663867,0.00209169786961125,16298.1029589161,203.046988107953,1853.59507590037,0.00975584016863712,0.0272940542398888,0.0360947876696187,0.0274280046341317,0.00845227790236135,0.304950136322632,0.10653557881219,2.05611272524961e-05,0.80111267446077,0.134155460746972,1.30948335411121,1.65245241680364e-06,1.88323512910373e-05,1.48124572376291e-05,8.8594962825803e-06,9.53096813696418e-06,0.000325889372059105,0.613289793442441,0.000161205941321317
6,1,1,1,0.0777752965872036,0.34358584531909,14.703673008678,747.932725507027,5.55504223850041e-05,0.0637661109174549,1.09996726390741,0.00016102815160078,0.0861109249106513,13.5229206327024,0.990008938844182,0.0182462654224365,6957.43617477423,1052.4588408359,28062.1525322263,0.170729987522066,0.647715249752314,6.44287065166313,0.264124490731695,0.490243339150379,39.2059971996558,0.792779045955717,0.00120686336974125,0.322605511976957,1.07877594121782,19.7738635739696,1.38535551825859e-06,0.000972971890863028,0.00247449781321048,7.77318312723909e-06,0.000588832831415161,0.0420676360344609,0.959343622663867,0.00209169786961125
7,1,1,1,1.30334010699423,0.246838857331422,76.0031795436314,11076.8843095938,0.00140432340887093,1.82269832097323,152.115269483944,0.00701361323221203,4.19986225563189,1722.12049395034,0.996833664011977,0.138359668839022,5087.20776627936,5433.94010657985,417531.29707107,4.34770071167128,18.9938042177895,882.890355346093,11.7232270953317,23.2960759877387,5023.17281119219,0.981932974847224,0.0126983728953821,0.137434338127636,5.88146920347118,299.173090202811,2.22201689540016e-05,0.025506444366982,0.439986905562962,6.4411260640312e-05,0.0344443699642605,5.40916825308098,0.990008938844182,0.0182462654224365
8,1,1,1,31.0565654003549,0.524114966903955,302.562405956809,125938.240324649,0.0307628299905359,46.1789641077904,14111.2421472372,0.243523309749028,149.529593893232,170017.102166599,0.999195230123281,0.570718619190463,12658.7931482607,25037.8157901713,5492566.02533258,110.272538186261,570.810984147404,93818.0784080612,471.195351476676,949.082121346769,574557.037822868,0.995723233148676,0.100508485368354,0.0987355429325688,30.4012718174525,4430.75372383753,0.000561729363548371,0.729079328389294,60.8461077935777,0.00280544529288481,1.67994490225276,688.848197580137,0.996833664011977,0.138359668839022
9,1,1,1,163.209049182646,0.207134140259218,120.328654466076,127687.139528787,0.066703632074769,83.7190048138991,77140.3470864672,0.713650715191285,453.857451710785,1426604.11261172,0.999797842064741,0.898032772969217,16684.6629375009,34096.6034045101,18677587.1084028,795.837881960293,3356.39549104837,1650378.06654643,4594.34787165182,9646.04124790613,16102547.1179522,0.998750006547024,0.464224612032694,0.209645986761582,121.024962382724,50375.2961298598,0.0123051319962144,18.4715856431162,5644.49685889487,0.097409323899611,59.8118375572929,68006.8408666394,0.999195230123281,0.570718619190463
10,1,1,1,188.857243744896,0.0498827497840677,26.1961794552673,39426.0097032984,0.0282191062731386,27.9421304486337,51081.9282976494,0.403738334589828,247.641956291505,1797762.23734163,0.999919848468459,0.965578654119873,7338.31703965744,14950.2842019135,11140361.5096249,614.396741773963,2157.23663288189,1975790.21493274,4744.28037186111,10163.260257442,37720428.9180036,0.999482425881505,0.761148674331709,0.0828536561036872,48.1314617864302,51074.8558115148,0.0266814528299076,33.4876019255597,30856.1388345869,0.285460286076514,181.542980684314,570641.64504469,0.999797842064742,0.898032772969217
11,1,1,1,194.07288402037,0.0165649382394815,8.55361884584024,15541.1948347862,0.0121593990949991,10.6541111146824,30017.8320867977,0.223578410931179,133.06045884606,1895017.29279056,0.999960640355536,0.984251270159917,2927.67788874384,5952.79115365332,5369764.62877273,318.125021690476,1033.97430761623,1427107.17063607,3157.34453382134,6810.49252580052,48536796.1808942,0.999759695630573,0.889928655205459,0.0199530999136271,10.4784717821069,15770.4038813193,0.0112876425092554,11.1768521794535,20432.7713190598,0.161495333835931,99.0567825166021,719104.894936652,0.999919848468459,0.965578654119873
12,1,1,1,195.770981992914,0.00607950981437646,3.12599613491032,6767.56256346914,0.00539018118454046,4.42869187162375,17705.4486307655,0.125131521394958,73.8441583229194,1933155.27328736,0.999979140920702,0.992018410575226,1149.83875389202,2334.0571117338,2512422.78907224,150.923815607616,465.777607735392,909246.625888426,1891.20736769879,4093.80132204944,53310153.2635541,0.999883000269842,0.947642960231466,0.00662597529579258,3.4214475383361,6216.47793391448,0.00486375963799966,4.26164444587298,12007.1328347191,0.0894313643724716,53.2241835384239,758006.917116223,0.999960640355536,0.984251270159917
13,1,1,1,196.419949146185,0.00231512522053895,1.18762623894259,3089.05519489058,0.00241287494168046,1.89457722135484,10461.7709993615,0.0704645789632589,41.4978191692821,1950604.01005239,0.999988613578208,0.995763119190714,449.924177143403,911.900441284086,1180140.02553667,69.4220495282571,205.55279043503,553884.339373101,1094.35269924873,2373.82217582308,55402239.5751583,0.999941210077856,0.974474158827966,0.00243180392575059,1.25039845396413,2707.02502538766,0.00215607247381618,1.7714767486495,7082.17945230621,0.0500526085579833,29.5376633291678,773262.109314946,0.999979140920702,0.992018410575226
14,1,1,1,196.687058662089,0.000895383879540355,0.45850794621669,1456.10026663173,0.00108065480059167,0.818100758305472,6173.04629561426,0.039773496198278,23.4166766614585,1959216.70502374,0.999993701470599,0.997689989143474,176.004555596463,356.205282598093,563111.866420256,31.4487077838515,89.9032310351792,330947.387356745,624.794127667125,1356.99813811076,56337417.5906747,0.999969706864485,0.987259722953728,0.000926050088215581,0.475050495577038,1235.62207795623,0.000965149976672182,0.757830888541935,4184.70839974461,0.0281858315853036,16.5991276677128,780241.604020956,0.999988613578208,0.995763119190714
15,1,1,1,196.802500607646,0.000348895981610768,0.178389384218832,705.770642209167,0.000482543149356205,0.354180934493912,3634.26752141982,0.022463532252065,13.2276908016835,1963671.18435674,0.999996492206395,0.9987178717419,68.9235211172928,139.29647317305,274452.267573266,14.112665824224,39.1355571043461,195876.591538692,354.634309998007,770.828868965045,56768435.6156846,0.999984061870485,0.993490139381286,0.000358153551816142,0.183403178486676,582.440106652693,0.000432261920236667,0.327240303322189,2469.2185182457,0.0159093984793112,9.36667066458342,783686.682009495,0.999993701470599,0.997689989143474
16,1,1,1,196.854519229884,0.000136549612284161,0.0697194276031288,351.294821336272,0.000214603775775614,0.153358105448161,2135.02523813052,0.0126862098421058,7.47201192694554,1966051.16411255,0.999998038865398,0.999279186432557,27.0356875785102,54.5672254748648,136978.732184676,6.29049445029484,16.9864087279807,115336.902003764,200.729406350202,436.502444041318,56974258.2606414,0.999991471142427,0.996597072200117,0.000139558392644307,0.0713557536875328,282.308256883667,0.000193017259742482,0.141672373797565,1453.70700856793,0.008985412900826,5.29107632067341,785468.473742695,0.999996492206395,0.9987178717419
17,1,1,1,196.878913960649,5.361387140472e-05,0.0273380442993798,179.380167909974,9.50534173311116e-05,0.0663565113720731,1252.05647039678,0.00716243746150918,4.21934553141509,1967353.38261699,0.999998900933013,0.999590881011915,10.6263080077944,21.4201954887468,70047.7788898976,2.78915163368763,7.35785792840029,67706.4597312329,113.44842335584,246.766922873282,57076177.9724535,0.999995374649152,0.998183355107523,5.46198449136646e-05,0.0278877710412515,140.517928534509,8.58415103102456e-05,0.0613432421792645,854.010095252209,0.00507448393684232,2.98880477077822,786420.46564502,0.999998038865398,0.999279186432557
18,1,1,1,196.890804294334,2.11092553441458e-05,0.01075027130037,93.8134857795965,4.19425368609001e-05,0.0286847517592747,733.252842965183,0.00404247970071799,2.38168029673729,1968078.55139374,0.999999383077744,0.9997661317685,4.18602459858818,8.42779323652745,36666.5007942367,1.23134948129284,3.18225247208073,39669.4398278886,64.0632591874747,139.366184795422,57128398.5873518,0.999997465800846,0.999012042901844,2.1445548561888e-05,0.0109352177197519,71.7520671639895,3.80213669324446e-05,0.0265426045488293,500.822588158713,0.00286497498460367,1.68773821256604,786941.353046796,0.999998900933013,0.999590881011915
19,1,1,1,196.896812073192,8.33356455875599e-06,0.00423896436080499,50.1323512884322,1.84445354870708e-05,0.0123880742174662,428.983192234854,0.00228088736737216,1.34390558277276,1968487.64234811,0.999999653334166,0.99986559741868,1.65299975510251,3.32414754283594,19605.3751205078,0.541634288883244,1.37462544034983,23212.8872412717,36.1557978520192,78.6600779153158,57155967.5872921,0.999998600849898,0.999454224646054,8.44370213765831e-06,0.00430010852014799,37.5253943118386,1.677701474436e-05,0.0114739007037099,293.301137186073,0.0016169918802872,0.952672118694917,787231.420557498,0.999999383077744,0.9997661317685
20,1,1,1,196.899945893238,3.29883134017401e-06,0.00167608627775986,27.2950442088873,8.08680687451179e-06,0.00534528507326735,250.783616358828,0.00128661332125557,0.758100906544224,1968720.61385154,0.999999805048632,0.999922452386786,0.654426992032049,1.31458402947153,10678.6885618983,0.237505334744511,0.593187982924127,13571.4062750381,20.3976914595382,44.3779224392975,57170887.5354346,0.999999223143429,0.999694611182977,3.3334258235024e-06,0.001695585744322,20.0529405153729,7.37781419482834e-06,0.00495522968698647,171.593276893942,0.000912354946948865,0.537562233109103,787395.056939244,0.999999653334166,0.99986559741868
21,1,1,1,196.901625042848,1.30946058605369e-06,0.00066459979311772,15.0950031045111,3.53622077632229e-06,0.00230457781186455,146.527020850733,0.000725605190166897,0.427546970875655,1968854.19715792,0.999999890306378,0.999955124629633,0.259791707936528,0.521310213528387,5907.38997176349,0.103864299588066,0.25575651867667,7929.71390862541,11.5044234911343,25.0293825158244,57179122.1039948,0.999999566882215,0.99982737033594,1.3195325360696e-06,0.000670434511103944,10.9180176835549,3.23472274980471e-06,0.00213811402930694,100.313446543531,0.000514645328502229,0.303240362617689,787488.245540616,0.999999805048632,0.999922452386786
22,1,1,1,196.902544418024,5.21274696667792e-07,0.000264295537270902,8.45441775807859,1.5427438905642e-06,0.0009928982167678,85.5777131925859,0.000409146431911578,0.241080002720573,1968931.16930088,0.999999938253815,0.999973974924223,0.10342296392715,0.20732696997391,3309.33410355841,0.0453145014561809,0.11018967479844,4631.31571268774,6.48724753763695,14.1136693358282,57183735.6894541,0.999999757804391,0.999901639910738,5.23784234421476e-07,0.000265839917247088,6.03800124180443,1.41448831052891e-06,0.000921831124745818,58.6108083402933,0.000290242076066759,0.171018788350262,787541.67886317,0.999999890306378,0.999955124629633
23,1,1,1,196.903056324104,2.08123800278349e-07,0.000105420258621478,4.78282231877804,6.7168009770407e-07,0.000427511074672837,49.9661141862861,0.000230673858854926,0.135917984402712,1968975.67762207,0.999999965233139,0.999984882815083,0.041293520194943,0.0827013458708034,1872.45355550646,0.0197294387200115,0.0474436688480413,2704.07567591918,3.65754476933387,7.9572164549278,57186349.6768007,0.999999864274853,0.999943616085223,2.08509878667117e-07,0.000105718214908361,3.38176710323144,6.1709755622568e-07,0.00039715928670712,34.2310852770344,0.000163658572764631,0.0964320010882293,787572.467720353,0.999999938253815,0.999973974924223
