Season,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,0.00266914954457546,26.6913785184479,2.44639394175646e-05,3.39996369865644e-05,2.44639394175646e-05,2.68539093176464e-11,3.74403069347705e-11,3.39996369865644e-05,3.74403069347705e-11,5.22027674525534e-11,1.73207711720336e-06,1.73207711720336e-06,99999.9881159423,0.00347826054446961,0.00246376811528278,0.00347826054446961,1.20982978529827e-10,8.56962844452991e-11,0.00246376811528277,8.56962844452991e-11,6.07015404726465e-11,4.20289863725503e-08,4.20289863725503e-08,9999.99881159423,0.000347826054446961,0.000246376811528277,0.000347826054446961,1.20982978529827e-11,8.56962844452991e-12,0.000246376811528277,8.56962844452991e-12,6.07015404726465e-12,4.20289863725503e-08,4.20289863725503e-08
2,4.20434498739072e-05,0.420421752650476,2.17269196278578e-06,4.20015731170676e-06,2.17269196278578e-06,3.17799293505026e-11,7.27360313599187e-11,4.20015731170676e-06,7.27360313599187e-11,2.12795577508314e-10,1.25747080664043e-05,1.25747080664043e-05,59333.4498833612,0.00213129303863017,0.00159629285107924,0.00213129303863017,1.64376381143717e-10,1.17914838104464e-10,0.00159629285107924,1.17914838104464e-10,2.1610504206654e-10,4.48640609356677e-08,4.48640609356677e-08,13.3456892592239,1.22319697087823e-05,1.69998184932822e-05,1.22319697087823e-05,1.34269546588232e-11,1.87201534673852e-11,1.69998184932822e-05,1.87201534673852e-11,2.61013837262767e-11,1.73207711720336e-06,1.73207711720336e-06
3,2.28881003103503e-05,0.22887618207485,8.97920214740468e-07,1.51202292208549e-06,8.97920214740468e-07,4.19618723401668e-11,1.3574954632396e-10,1.51202292208549e-06,1.3574954632396e-10,8.28919218283206e-10,8.57229969864472e-06,8.57229969864472e-06,35127.5044418336,0.00126844111766332,0.000961164021948584,0.00126844111766332,2.6082311515841e-10,1.86548111230633e-10,0.000961164021948584,1.86548111230634e-10,7.32817544799294e-10,4.54169900953052e-08,4.54169900953052e-08,0.210210876325238,1.08634598139289e-06,2.10007865585338e-06,1.08634598139289e-06,1.58899646752513e-11,3.63680156799594e-11,2.10007865585338e-06,3.63680156799594e-11,1.06397788754157e-10,1.25747080664043e-05,1.25747080664043e-05
4,1.35478813543605e-05,0.135476084094864,5.2093571788862e-07,8.41927317340831e-07,5.2093571788862e-07,6.98303920643848e-11,2.49725409346524e-10,8.41927317340831e-07,2.49725409346524e-10,3.15338943520534e-09,8.16332856852511e-06,8.16332856852511e-06,20796.6270114528,0.000753602994160191,0.000574943023335242,0.000753602994160191,5.64099115889251e-10,3.20389820673264e-10,0.000574943023335242,3.20389820673264e-10,2.56396904324121e-09,4.57645234919016e-08,4.57645234919016e-08,0.114438091037425,4.48960107370234e-07,7.56011461042745e-07,4.48960107370234e-07,2.09809361700834e-11,6.78747731619799e-11,7.56011461042745e-07,6.78747731619799e-11,4.14459609141603e-10,8.57229969864472e-06,8.57229969864472e-06
5,8.02078521978524e-06,0.0802062222944917,3.09063071362784e-07,4.99419639166513e-07,3.09063071362784e-07,1.648023070679e-10,4.57201587501062e-10,4.99419639166513e-07,4.57201587501062e-10,1.18587341978765e-08,8.31063411268373e-06,8.31063411268373e-06,12312.2805717837,0.000447676523898168,0.000343691690658201,0.000447676523898168,1.67893159244053e-09,5.72595247666752e-10,0.000343691690658201,5.72595247666752e-10,9.22525489509961e-09,4.60955060237907e-08,4.60955060237907e-08,0.067738042047432,2.6046785894431e-07,4.20963658670415e-07,2.6046785894431e-07,3.49151960321924e-11,1.24862704673262e-10,4.20963658670415e-07,1.24862704673262e-10,1.57669471760267e-09,8.16332856852511e-06,8.16332856852511e-06
6,4.74857068974639e-06,0.0474846966280219,1.8358495938537e-07,2.98283604145456e-07,1.8358495938537e-07,5.06609074283413e-10,8.38033776223693e-10,2.98283604145456e-07,8.38033776223693e-10,4.43496383176568e-08,9.18036406825729e-06,9.18036406825729e-06,7289.27112995082,0.000265940342832396,0.00020543837104864,0.000265940342832396,5.75467301723241e-09,1.05582748779596e-09,0.00020543837104864,1.05582748779596e-09,3.37439867939114e-08,4.64308018896177e-08,4.64308018896177e-08,0.0401031111472458,1.54531535681392e-07,2.49709819583256e-07,1.54531535681392e-07,8.24011535339499e-11,2.28600793750531e-10,2.49709819583256e-07,2.28600793750531e-10,5.92936709893823e-09,8.31063411268373e-06,8.31063411268373e-06
7,2.81132322240576e-06,0.0281124872778843,1.09058098381868e-07,1.78279234148359e-07,1.09058098381868e-07,1.75830773740278e-09,1.54803563916709e-09,1.78279234148359e-07,1.54803563916709e-09,1.65417129203724e-07,1.42789209248929e-05,1.42789209248929e-05,4315.48593260765,0.00015798170404827,0.000122797316072362,0.00015798170404827,2.07512686256206e-08,2.02676185788497e-09,0.000122797316072362,2.02676185788497e-09,1.24493138888144e-07,4.67910344009863e-08,4.67910344009863e-08,0.023742348314011,9.17924796926851e-08,1.49141802072728e-07,9.17924796926851e-08,2.53304537141707e-10,4.19016888111846e-10,1.49141802072728e-07,4.19016888111846e-10,2.21748191588284e-08,9.18036406825729e-06,9.18036406825729e-06
8,1.66444792984291e-06,0.0166435082153604,6.47868268025156e-08,1.06562895193583e-07,6.47868268025156e-08,6.37802464228854e-09,2.91160005501131e-09,1.06562895193583e-07,2.91160005501131e-09,6.16182399946352e-07,4.58227083749528e-05,4.58227083749528e-05,2554.90823461943,9.38503793238199e-05,7.34003413606029e-05,9.38503793238199e-05,7.62170684900221e-08,4.14213931819012e-09,7.34003413606029e-05,4.14213931819012e-09,4.61273140144598e-07,4.72937181942465e-08,4.72937181942465e-08,0.0140562436389422,5.4529049190934e-08,8.91396170741795e-08,5.4529049190934e-08,8.79153868701388e-10,7.74017819583543e-10,8.91396170741795e-08,7.74017819583543e-10,8.27085646018618e-08,1.42789209248929e-05,1.42789209248929e-05
9,9.85603207246289e-07,0.00985349899610011,3.84894710091072e-08,6.3699167111739e-08,3.84894710091072e-08,2.34957777753593e-08,5.67399514898485e-09,6.3699167111739e-08,5.67399514898485e-09,2.29385531846595e-06,0.000243207214127339,0.000243207214127339,1512.5888923525,5.57561483345891e-05,4.38761433948219e-05,5.57561483345891e-05,2.81956005450054e-07,9.30430606290091e-09,4.38761433948219e-05,9.30430606290091e-09,1.71272356796237e-06,4.86727531633843e-08,4.86727531633843e-08,0.00832175410768018,3.23934134012578e-08,5.32814475967914e-08,3.23934134012578e-08,3.18901232114427e-09,1.45580002750566e-09,5.32814475967914e-08,1.45580002750566e-09,3.08091199973176e-07,4.58227083749528e-05,4.58227083749528e-05
10,5.84236159219032e-07,0.00583359235621678,2.28739648622589e-08,3.80858863626271e-08,2.28739648622589e-08,8.70427150861122e-08,1.17732246874914e-08,3.80858863626271e-08,1.17732246874915e-08,8.53672710663159e-06,0.00148012597877525,0.00148012597877525,895.501891235648,3.31360286220047e-05,2.62343757747292e-05,3.31360286220047e-05,1.04611257584813e-06,2.36120906476982e-08,2.62343757747292e-05,2.36120906476982e-08,6.36600450455232e-06,5.55296002085719e-08,5.55296002085719e-08,0.00492674949805005,1.92447355045536e-08,3.18495835558695e-08,1.92447355045536e-08,1.17478888876797e-08,2.83699757449242e-09,3.18495835558695e-08,2.83699757449242e-09,1.14692765923297e-06,0.000243207214127339,0.000243207214127339
11,3.48589192393215e-07,0.00345367667410597,1.36207908410866e-08,2.28000699241791e-08,1.36207908410866e-08,3.22968964338644e-07,2.69106015185055e-08,2.28000699241791e-08,2.69106015185055e-08,3.17656179372698e-05,0.00917902203662367,0.00917902203662367,530.166285467866,1.97337735230403e-05,1.57074631217741e-05,1.97337735230403e-05,3.88320181580886e-06,6.79896766422288e-08,1.57074631217741e-05,6.79896766422288e-08,2.36747563910295e-05,9.67482911796756e-08,9.67482911796756e-08,0.00291679617810839,1.14369824311294e-08,1.90429431813135e-08,1.14369824311294e-08,4.35213575430561e-08,5.88661234374572e-09,1.90429431813135e-08,5.88661234374573e-09,4.2683635533158e-06,0.00148012597877525,0.00148012597877525
12,2.16426730289436e-07,0.00204468903306126,8.20902278904411e-09,1.37446701696696e-08,8.20902278904411e-09,1.1941734984233e-06,6.9579717361891e-08,1.37446701696696e-08,6.9579717361891e-08,0.000118201029514032,0.0549471568792882,0.0549471568792882,313.875701537736,1.19012711519269e-05,9.47666600869784e-06,1.19012711519269e-05,1.43446390388832e-05,2.17166925732224e-07,9.47666600869784e-06,2.17166925732224e-07,8.80929838636521e-05,3.53701491716857e-07,3.53701491716857e-07,0.00172683833705299,6.81039542054331e-09,1.14000349620896e-08,6.81039542054331e-09,1.61484482169322e-07,1.34553007592527e-08,1.14000349620896e-08,1.34553007592527e-08,1.58828089686349e-05,0.00917902203662367,0.00917902203662367
13,1.65524802157619e-07,0.00121052232562534,5.30268217971184e-09,8.61937460792281e-09,5.30268217971184e-09,4.29907047301508e-06,2.03871283447551e-07,8.61937460792281e-09,2.03871283447551e-07,0.000439991038797364,0.267305954097088,0.267305954097088,185.824610910004,7.71650333744634e-06,5.96948671386564e-06,7.71650333744634e-06,5.12665711148191e-05,7.44947121103243e-07,5.96948671386564e-06,7.44947121103243e-07,0.00032841519440995,1.96417920528002e-06,1.96417920528002e-06,0.00102234451653063,4.10451139452206e-09,6.87233508483478e-09,4.10451139452206e-09,5.97086749211648e-07,3.47898586809455e-08,6.87233508483478e-09,3.47898586809455e-08,5.91005147570158e-05,0.0549471568792882,0.0549471568792882
14,2.37235727519416e-07,0.000716668124783812,4.60817818109385e-09,6.56325473163005e-09,4.60817818109385e-09,1.34957011422544e-05,6.60821522362303e-07,6.56325473163005e-09,6.60821522362303e-07,0.00164084946335755,0.694919534588698,0.694919534588698,110.014142233702,6.79528067402475e-06,4.63426448066387e-06,6.79528067402475e-06,0.000154385407992797,2.66853134489339e-06,4.63426448066387e-06,2.66853134489339e-06,0.00123413980200971,1.20289095507086e-05,1.20289095507086e-05,0.00060526116281267,2.65134108985592e-09,4.30968730396141e-09,2.65134108985592e-09,2.14953523650754e-06,1.01935641723776e-07,4.30968730396141e-09,1.01935641723776e-07,0.000219995519398682,0.267305954097088,0.267305954097088
15,6.60105304447907e-07,0.00042429008049317,6.87769592609752e-09,8.38261756460708e-09,6.87769592609752e-09,2.95113273096163e-05,2.19772940056596e-06,8.38261756460708e-09,2.19772940056596e-06,0.00614282565724817,0.933319228758833,0.933319228758833,65.1318338450249,1.030339113677e-05,6.1326262815491e-06,1.030339113677e-05,0.000288849175298709,9.07651320514056e-06,6.1326262815491e-06,9.07651320514056e-06,0.00469337416690454,7.46535420445811e-05,7.46535420445811e-05,0.000358334062391906,2.30408909054692e-09,3.28162736581503e-09,2.30408909054692e-09,6.7478505711272e-06,3.30410761181151e-07,3.28162736581503e-09,3.30410761181151e-07,0.000820424731678773,0.694919534588698,0.694919534588698
16,2.33633045381332e-06,0.000251192942176054,1.26373794604315e-08,1.55389630080986e-08,1.26373794604315e-08,4.57641682773681e-05,6.43621420092392e-06,1.55389630080986e-08,6.43621420092392e-06,0.023053418646593,0.988129777275524,0.988129777275524,38.5600743817267,1.90095276145775e-05,1.15500381196363e-05,1.90095276145775e-05,0.00034574677614686,2.35050984803351e-05,1.15500381196363e-05,2.35050984803351e-05,0.0177882380395774,0.000467034995662051,0.000467034995662051,0.000212145040246585,3.43884796304876e-09,4.19130878230354e-09,3.43884796304876e-09,1.47556636548081e-05,1.09886470028298e-06,4.19130878230354e-09,1.09886470028298e-06,0.00307141282862409,0.933319228758833,0.933319228758833
17,8.68186260893849e-06,0.000148714059491847,2.0641292854972e-08,2.86186630972885e-08,2.0641292854972e-08,5.80757649941442e-05,1.59876680961245e-05,2.86186630972885e-08,1.59876680961245e-05,0.0865797624087947,0.997859844540179,0.997859844540179,22.8287677712075,3.09807087685676e-05,2.12672914639504e-05,3.09807087685676e-05,0.000339787680108136,4.69362086197528e-05,2.12672914639504e-05,4.69362086197528e-05,0.0669981133681159,0.00293825453433178,0.00293825453433178,0.000125596471088027,6.31868973021574e-09,7.7694815040493e-09,6.31868973021574e-09,2.2882084138684e-05,3.21810710046196e-06,7.7694815040493e-09,3.21810710046196e-06,0.0115267093232965,0.988129777275524,0.988129777275524
18,3.25431031624021e-05,8.80433982940439e-05,2.89529398713368e-08,4.91870562061582e-08,2.89529398713368e-08,6.57850213634496e-05,3.51758980873351e-05,4.91870562061582e-08,3.51758980873351e-05,0.325206695128197,0.999574052683932,0.999574052683932,13.5153494856262,4.33133790995652e-05,3.64603047425971e-05,4.33133790995652e-05,0.000310646288705772,8.18582923388943e-05,3.64603047425971e-05,8.18582923388943e-05,0.251797885518302,0.0183133438818024,0.0183133438818024,7.43570297459237e-05,1.0320646427486e-08,1.43093315486442e-08,1.0320646427486e-08,2.90378824970721e-05,7.99383404806224e-06,1.43093315486442e-08,7.99383404806224e-06,0.0432898812043974,0.997859844540179,0.997859844540179
19,0.000122181145114274,5.21244896770029e-05,3.61502086230078e-08,8.20390128279976e-08,3.61502086230078e-08,6.96747580586957e-05,7.1652270307919e-05,8.20390128279976e-08,7.1652270307919e-05,1.22154611097594,0.999899391785802,0.999899391785802,8.00151927846244,5.39251394554978e-05,6.07422014689341e-05,5.39251394554978e-05,0.000278116951032197,0.000136159291082511,6.07422014689341e-05,0.000136159291082511,0.945871625350981,0.105753752583297,0.105753752583297,4.40216991470219e-05,1.44764699356684e-08,2.45935281030791e-08,1.44764699356684e-08,3.28925106817248e-05,1.75879490436675e-05,2.45935281030791e-08,1.75879490436675e-05,0.162603347564098,0.999574052683932,0.999574052683932
20,0.000458875225181649,3.0859366934684e-05,4.15809912272339e-08,1.37519862441913e-07,4.15809912272339e-08,7.08117357741413e-05,0.000139345514943946,1.37519862441913e-07,0.000139345514943946,4.58837153148219,0.999970332265467,0.999970332265467,4.73716202275643,6.18872380218592e-05,0.000101840520429583,6.18872380218592e-05,0.000249129864351766,0.000226775597430022,0.000101840520429583,0.000226775597430022,3.55285238665344,0.428588928621974,0.428588928621974,2.60622448385014e-05,1.80751043115039e-08,4.10195064139988e-08,1.80751043115039e-08,3.48373790293479e-05,3.58261351539595e-05,4.10195064139988e-08,3.58261351539595e-05,0.610773055487972,0.999899391785802,0.999899391785802
21,0.00172353142429529,1.82697070313558e-05,4.51583713551836e-08,2.35357502791892e-07,4.51583713551836e-08,7.01233440753552e-05,0.000263782647545091,2.35357502791892e-07,0.000263782647545091,17.2346977235749,0.999989235717128,0.999989235717128,2.80456177207968,6.70986693473203e-05,0.000174433949218975,6.70986693473203e-05,0.00022511412701589,0.000385852631844167,0.000174433949218975,0.000385852631844167,13.3450074927691,0.826318258866591,0.826318258866591,1.5429683467342e-05,2.0790495613617e-08,6.87599312209565e-08,2.0790495613617e-08,3.54058678870706e-05,6.96727574719729e-05,6.87599312209565e-08,6.96727574719729e-05,2.29418576574109,0.999970332265467,0.999970332265467
22,0.00647361475769517,1.08161247307985e-05,4.70986217037863e-08,4.11866175150852e-07,4.70986217037863e-08,6.8300662884071e-05,0.000491757533989002,4.11866175150852e-07,0.000491757533989002,64.7350840271666,0.99999549976716,0.99999549976716,1.66040248226453,6.98955105128165e-05,0.000305513074272562,6.98955105128165e-05,0.000205566006482177,0.000672430838581259,0.000305513074272562,0.000672430838581259,50.1256429993481,0.967922284798906,0.967922284798906,9.13485351567789e-06,2.25791856775918e-08,1.17678751395946e-07,2.25791856775918e-08,3.50616720376776e-05,0.000131891323772546,1.17678751395946e-07,0.000131891323772546,8.61734886178745,0.999989235717128,0.999989235717128
23,0.0243135269880233,6.40311924788087e-06,4.77304331012003e-08,7.33375070657914e-07,4.77304331012003e-08,6.58177483061936e-05,0.000908949856421077,7.33375070657914e-07,0.000908949856421077,243.133378197442,0.999997965774803,0.999997965774803,0.983024391131861,7.07731809260991e-05,0.000544388281066521,7.07731809260991e-05,0.000189515854456023,0.00119429422277757,0.000544388281066521,0.00119429422277757,188.276054367767,0.994798944162492,0.994798944162492,5.40806236539925e-06,2.35493108518932e-08,2.05933087575426e-07,2.35493108518932e-08,3.41503314420355e-05,0.000245878766994501,2.05933087575426e-07,0.000245878766994501,32.3675420135833,0.99999549976716,0.99999549976716
24,0.0912925808891005,3.78992086539662e-06,4.73823575325415e-08,1.32079893530576e-06,4.73823575325415e-08,6.29766422274455e-05,0.0016718819045009,1.32079893530576e-06,0.0016718819045009,912.922395624271,0.999999044159933,0.999999044159933,0.581995068113758,7.02288801361784e-05,0.000981111912427875,7.02288801361784e-05,0.000176052107114435,0.00214820651770357,0.000981111912427875,0.00214820651770357,707.137519156268,0.999174477723185,0.999174477723185,3.20155962394043e-06,2.38652165506002e-08,3.66687535328957e-07,2.38652165506002e-08,3.29088741530968e-05,0.000454474928210539,3.66687535328957e-07,0.000454474928210539,121.566689098721,0.999997965774803,0.999997965774803
25,0.3424451012648,2.24158256490458e-06,4.63178960931397e-08,2.39333844095068e-06,4.63178960931397e-08,5.99355375313693e-05,0.00306451936131868,2.39333844095068e-06,0.00306451936131868,3424.44481655285,0.999999542428307,0.999999542428307,0.34457268609716,6.86871517843079e-05,0.00178005488643826,6.86871517843079e-05,0.000164455132956717,0.00389325427832653,0.00178005488643826,0.00389325427832653,2655.28769685169,0.999868775846017,0.999868775846017,1.89496043269831e-06,2.36911787662708e-08,6.6039946765288e-07,2.36911787662708e-08,3.14883211137227e-05,0.000835940952250449,6.6039946765288e-07,0.000835940952250449,456.461197812135,0.999999044159933,0.999999044159933
26,1.27975719143786,1.32218467532449e-06,4.46677881949562e-08,4.33916258275167e-06,4.46677881949562e-08,5.667424430056e-05,0.00558904483272736,4.33916258275167e-06,0.00558904483272736,12797.5606695249,0.999999778974644,0.999999778974644,0.204010626894581,6.64677095631767e-05,0.0032399273220935,6.64677095631767e-05,0.000154172957395895,0.00708195371937429,0.0032399273220935,0.00708195371937429,9961.82453726689,0.999978822799508,0.999978822799508,1.12079128245229e-06,2.31589480465698e-08,1.19666922047534e-06,2.31589480465698e-08,2.99677687656846e-05,0.00153225968065934,1.19666922047534e-06,0.00153225968065934,1712.22240827642,0.999999542428307,0.999999542428307
27,4.71709200245759,7.72027865286603e-07,4.22578948931174e-08,7.78329345581462e-06,4.22578948931174e-08,5.27798155239907e-05,0.0100475679650207,7.78329345581462e-06,0.0100475679650207,47170.899860237,0.999999892756118,0.999999892756118,0.120792817853795,6.37514232130844e-05,0.00589367546190868,6.37514232130844e-05,0.000144697626069947,0.0128784550686163,0.00589367546190868,0.0128784550686163,37251.4318194022,0.999996421798499,0.999996421798499,6.61092337662243e-07,2.23338940974781e-08,2.16958129137583e-06,2.23338940974781e-08,2.833712215028e-05,0.00279452241636368,2.16958129137583e-06,0.00279452241636368,6398.78033476244,0.999999778974644,0.999999778974644
