Season,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
11,5.64048418061449,1.22145911985077,101.106872396663,56302.510048329,4.42016977996915e-08,6.81233418235015e-06,0.00207272427647678,2.96806535293058e-08,1.31242835146149e-06,0.00134537654171522,0.999082084129721,4.23103581267146e-08,763.392818628437,111.805547224117,40969.6352679562,2.77408595750711e-05,6.18163168405359e-06,0.00157469236285594,1.85389296675494e-05,2.26118521379262e-06,0.000956011454704279,0.980420627327845,4.25648456911492e-08,1.49126413898105,28.7835723167614,7825.00339843848,5.30949339663221e-08,1.99658201967068e-06,0.00028519139872358,3.63197414887898e-08,3.39343517092989e-07,0.000187978087324477,0.997978040991273,4.22612997777388e-08
12,27.6752098227613,0.787705847645814,241.862958187669,276509.430696123,3.00482704114055e-08,1.58335999474892e-05,0.0102701105166431,1.90299767050929e-08,3.41212422862152e-06,0.00657804965085669,0.999560186913151,4.23645130879905e-08,559.79536707063,290.390239513499,221416.549834549,2.15923955273378e-05,1.55848247616527e-05,0.00854340303702186,1.35068557545899e-05,6.11563205796817e-06,0.00516422054311806,0.996828178144969,4.26250583744498e-08,0.916094339888075,75.8301542974975,42226.8825362467,3.31512733497687e-08,5.10925063676262e-06,0.00155454320735758,2.22604901469793e-08,9.84321263596115e-07,0.00100903240628641,0.999082084129721,4.23103581267146e-08
13,94.9406338817084,0.530288388149427,404.551306478272,949001.199169814,2.22418126375659e-08,2.57524465443429e-05,0.035527571359938,1.27320776046885e-08,6.13315560239039e-06,0.0224929119390252,0.999786386556195,4.24220159526578e-08,579.282265914616,707.348824034535,1099110.12643606,2.45943551290123e-05,3.72787267529999e-05,0.0425580701740324,1.3896725791142e-05,1.52345796159402e-05,0.0256299116867537,0.999152163364342,4.26837060219232e-08,0.59077938573436,181.397218640752,207382.073022092,2.25362028085541e-08,1.18751999606169e-05,0.00770258288748234,1.42724825288197e-08,2.55909317146614e-06,0.00493353723814252,0.999560186913151,4.23645130879905e-08
14,169.917884051413,0.335882124283387,354.952105031255,1698823.44829835,1.50262954186373e-08,2.19545880490107e-05,0.0640625144983846,8.08530051101363e-09,5.75000136571992e-06,0.0401383883816246,0.999895354188579,4.24831023100626e-08,753.807145541697,1314.03046202061,3972593.1886925,3.3870376104836e-05,6.83419137107715e-05,0.15429233461758,1.81488025398795e-05,2.87331845054141e-05,0.0926374689043602,0.999645045859239,4.27411577139711e-08,0.39771629111207,303.413479858704,711750.89937736,1.66813594781744e-08,1.93143349082572e-05,0.0266456785199535,9.54905820351639e-09,4.59986670179279e-06,0.0168696839542689,0.999786386556195,4.24220159526577e-08
15,199.200285696504,0.221776850373937,208.453170544814,1991794.05942515,1.00890314375442e-08,1.24635656479276e-05,0.0756491957411833,5.3789562159576e-09,3.62179532074455e-06,0.0469271948821609,0.999947566154428,4.25509714797849e-08,806.132996959797,1563.37379260951,8298022.0341499,3.66976904064961e-05,8.05111331642654e-05,0.323115875479152,1.95579648771878e-05,3.45536917277971e-05,0.193536426096699,0.999808705420659,4.27940123108343e-08,0.25191159321254,266.214078773441,1274117.58622376,1.1269721563978e-08,1.6465941036758e-05,0.0480468858737885,6.06397538326022e-09,4.31250102428994e-06,0.0301037912862184,0.999895354188579,4.24831023100626e-08
16,207.055176455463,0.158722858018717,114.008366318968,2070437.46960574,7.21869955155689e-09,6.54514253101428e-06,0.0791931442545135,3.87985392508237e-09,2.13402946408965e-06,0.0486578742813122,0.999972392426335,4.2626251615345e-08,688.692751702959,1386.81225759677,11883922.4348861,3.132141379124e-05,7.08211723717892e-05,0.46382861912751,1.68387460809114e-05,3.09205102771962e-05,0.277252731472289,0.999883720416213,4.2845863040026e-08,0.166332637780453,156.33987790861,1493845.54456886,7.56677357815815e-09,9.34767423594571e-06,0.0567368968058875,4.0342171619682e-09,2.71634649055841e-06,0.0351953961616207,0.999947566154428,4.25509714797848e-08
17,209.757064341104,0.112862699066711,65.0520314182028,2097505.34856472,5.10595474831644e-09,3.58202465467934e-06,0.0807495910010042,2.78038721251521e-09,1.30258030004792e-06,0.0491977165921518,0.99998443967503,4.27044549369642e-08,523.537569631616,1073.30326868406,14281930.3138361,2.36812711889356e-05,5.43631558350001e-05,0.558727495575749,1.29004317055935e-05,2.41283565334404e-05,0.333342641187094,0.999925775391323,4.29013362781504e-08,0.119042143514038,85.5062747392261,1552828.10220431,5.41402466366767e-09,4.90885689826071e-06,0.0593948581908851,2.90989044381178e-09,1.60052209806724e-06,0.0364934057109842,0.999972392426335,4.2626251615345e-08
18,211.049603508958,0.0784575737672111,39.3243105594982,2110456.50117647,3.52390063026514e-09,2.08872247024096e-06,0.0817055111094548,1.94781194284463e-09,8.29256888353658e-07,0.0494365391723458,0.99999064645752,4.27819671554733e-08,376.132339369338,779.370941638095,15796238.2282669,1.68902238767587e-05,3.91506328229737e-05,0.619411996318739,9.34012487864848e-06,1.76613285663783e-05,0.3689028546478,0.999951522521378,4.29604935953195e-08,0.084647024300033,48.7890235636521,1573129.01142354,3.82946606123733e-09,2.68651849100951e-06,0.0605621932507531,2.08529040938641e-09,9.76935225035942e-07,0.0368982874441139,0.99998443967503,4.27044549369642e-08
19,211.771598402567,0.0537808302317121,24.8752722478074,2117690.92302461,2.39622031949965e-09,1.28518827271981e-06,0.0823757510936576,1.34522979410086e-09,5.43707277975274e-07,0.0495703949823565,0.999994101466879,4.28572386753253e-08,262.736032466489,548.425913285984,16738011.1021285,1.17034727654798e-05,2.73243733133378e-05,0.657819195719748,6.57332381214015e-06,1.25233795175832e-05,0.391185123173903,0.999967921937088,4.30217416235573e-08,0.0588431803254083,29.4932329196237,1582842.37588235,2.64292547269885e-09,1.56654185268072e-06,0.0612791333320911,1.46085895713347e-09,6.21942666265244e-07,0.0370774043792594,0.99999064645752,4.27819671554733e-08
20,212.197132860977,0.0366132385575452,16.2083393241742,2121954.95112515,1.61788409386377e-09,8.20619104154688e-07,0.0828717197686026,9.22329772880228e-10,3.62838461360042e-07,0.0496591510884644,0.999996163575169,4.2929791097476e-08,180.903683021532,379.727510861909,17320846.2687436,7.99189928010045e-06,1.87688799157923e-05,0.682157442040526,4.55812528813327e-06,8.73349274877313e-06,0.405160967889827,0.999978594842577,4.30834699734029e-08,0.0403356226737841,18.6564541858555,1588268.19226846,1.79716523962474e-09,9.63891204539857e-07,0.0617818133202432,1.00892234557564e-09,4.07780458481455e-07,0.0371777962367674,0.999994101466879,4.28572386753253e-08
