Cost,Het,R,WW,RW,RR
0.025,0,4.20000006222309e-07,0.999999560000002,3.99999839002734e-08,4.00000014272173e-07
0.026,0,4.04615375488229e-07,0.999999575384633,3.99999834183401e-08,3.84615383779059e-07
0.027,0,3.90370362504344e-07,0.999999589629646,3.99999839862516e-08,3.70370370511218e-07
0.028,0,3.77142847085106e-07,0.999999602857161,3.9999984280837e-08,3.57142854944687e-07
0.029,0,3.64827576037541e-07,0.999999615172432,3.99999847039903e-08,3.44827583685546e-07
0.03,0,3.53333330086628e-07,0.999999626666677,3.99999858733069e-08,3.33333337149975e-07
0.031,0,3.42580640918113e-07,0.999999637419366,3.99999861776943e-08,3.22580647829266e-07
0.032,0,3.32499995826823e-07,0.999999647500011,3.99999868172412e-08,3.12500002418202e-07
0.033,0,3.23030288911061e-07,0.999999656969718,3.99999859449894e-08,3.03030295938566e-07
0.034,0,3.14117638744199e-07,0.999999665882368,3.99999867475844e-08,2.94117645370407e-07
0.035,0,3.05714282585303e-07,0.999999674285723,3.99999878331609e-08,2.85714288668722e-07
0.036,0,2.97777777215006e-07,0.999999682222229,3.99999883731382e-08,2.77777783028437e-07
0.037,0,2.90270272624046e-07,0.999999689729733,3.99999891747452e-08,2.70270278036673e-07
0.038,0,2.83157891069516e-07,0.999999696842115,3.99999885967984e-08,2.63157896771117e-07
0.039,0,2.76410246532936e-07,0.99999970358976,3.99999878379221e-08,2.56410252613975e-07
0.04,0,2.69999998539721e-07,0.999999710000007,3.99999894569154e-08,2.50000003811263e-07
0.041,0,2.6390242935956e-07,0.999999716097576,3.99999886993917e-08,2.43902435009864e-07
0.042,0,2.58095237807128e-07,0.999999721904767,3.99999898765367e-08,2.3809524286886e-07
0.043,0,2.52558136770715e-07,0.999999727441868,3.99999899873316e-08,2.32558141777049e-07
0.044,0,2.47272726563113e-07,0.999999732727278,3.99999904775365e-08,2.27272731324345e-07
0.045,0,2.42222221325368e-07,0.999999737777783,3.99999907341448e-08,2.22222225958296e-07
0.046,0,2.37391300439074e-07,0.999999742608704,3.99999905927203e-08,2.17391305142714e-07
0.047,0,2.32765948698934e-07,0.999999747234056,3.99999895014318e-08,2.12765953948218e-07
0.048,0,2.28333333467344e-07,0.999999751666671,3.99999915682333e-08,2.08333337683228e-07
0.049,0,2.24081630232276e-07,0.999999755918374,3.99999911269439e-08,2.04081634668804e-07
0.05,0,2.19999988553046e-07,0.999999760000017,3.99999895110091e-08,1.99999993797542e-07
0.051,0,2.16078421403441e-07,0.999999763921584,3.99999899463303e-08,1.96078426430276e-07
0.052,0,2.12307694007304e-07,0.99999976769231,3.99999921537949e-08,1.92307697930406e-07
0.053,0,2.08679242131129e-07,0.999999771320762,3.99999914646371e-08,1.88679246398811e-07
0.054,0,2.05185183962875e-07,0.99999977481482,3.99999920497265e-08,1.85185187938012e-07
0.055,0,2.01818180705176e-07,0.999999778181823,3.99999919624677e-08,1.81818184723942e-07
0.056,0,1.98571432674079e-07,0.999999781428571,3.99999929275258e-08,1.78571436210316e-07
0.057,0,1.95438591794114e-07,0.999999784561412,3.9999991550151e-08,1.75438596019039e-07
0.058,0,1.92413791901221e-07,0.999999787586212,3.99999923948029e-08,1.7241379570382e-07
0.059,0,1.89491524056787e-07,0.99999979050848,3.99999925669402e-08,1.69491527773317e-07
0.06,0,1.8666666292711e-07,0.999999793333341,3.99999921802479e-08,1.66666666836987e-07
0.061,0,1.83934422955381e-07,0.999999796065581,3.99999924002806e-08,1.63934426755241e-07
0.062,0,1.81290320600388e-07,0.999999798709683,3.99999926731504e-08,1.61290324263813e-07
0.063,0,1.78730156209445e-07,0.999999801269848,3.99999926639253e-08,1.58730159877482e-07
0.064,0,1.76249996203046e-07,0.999999803750008,3.99999926524353e-08,1.56249999876829e-07
0.065,0,1.7384615270404e-07,0.99999980615385,3.99999934712598e-08,1.5384615596841e-07
0.066,0,1.71515143321044e-07,0.999999808484861,3.99999920076105e-08,1.51515147317239e-07
0.067,0,1.69253723853313e-07,0.99999981074628,3.99999918211539e-08,1.49253727942736e-07
0.068,0,1.67058816662025e-07,0.999999812941187,3.99999921869822e-08,1.47058820568534e-07
0.069,0,1.64927538467487e-07,0.999999815072464,3.99999944396574e-08,1.44927541247658e-07
0.07,0,1.62857139271097e-07,0.999999817142864,3.99999930223102e-08,1.42857142759942e-07
0.071,0,1.60845067523756e-07,0.999999819154936,3.99999929902893e-08,1.40845071028611e-07
0.072,0,1.58888883178274e-07,0.99999982111112,3.99999929027277e-08,1.38888886726911e-07
0.073,0,1.56986299579756e-07,0.999999823013704,3.99999936454677e-08,1.36986302757022e-07
0.074,0,1.55135127326073e-07,0.999999824864877,3.99999922763548e-08,1.35135131187895e-07
0.075,0,1.53333333347194e-07,0.99999982666667,3.99999941808212e-08,1.33333336256783e-07
0.076,0,1.51578946792427e-07,0.999999828421056,3.99999941962908e-08,1.31578949694282e-07
0.077,0,1.49870124261973e-07,0.999999830129879,3.99999930408555e-08,1.29870127741545e-07
0.078,0,1.48205123852175e-07,0.999999831794879,3.99999933860871e-08,1.28205127159132e-07
0.079,0,1.46582271775725e-07,0.999999833417732,3.99999928386329e-08,1.26582275356408e-07
0.08,0,1.44999998696432e-07,0.999999835000004,3.99999946259014e-08,1.25000001383481e-07
0.081,0,1.43456784601739e-07,0.999999836543219,3.99999929569006e-08,1.23456788123289e-07
0.082,0,1.41951214227647e-07,0.999999838048789,3.99999933646762e-08,1.21951217545309e-07
0.083,0,1.40481926494168e-07,0.999999839518076,3.99999946675804e-08,1.20481929160378e-07
0.084,0,1.39047616706576e-07,0.999999840952386,3.999999402928e-08,1.19047619691936e-07
0.085,0,1.3764705446792e-07,0.999999842352948,3.99999939861488e-08,1.17647057474846e-07
0.086,0,1.36279073806981e-07,0.999999843720928,3.99999963777708e-08,1.16279075618095e-07
0.087,0,1.34942531058876e-07,0.999999845057471,3.99999957342051e-08,1.14942533191773e-07
0.088,0,1.33636357927762e-07,0.999999846363645,3.99999935998544e-08,1.13636361127835e-07
0.089,0,1.3235954720176e-07,0.999999847640456,3.99999937001623e-08,1.12359550351678e-07
0.09,0,1.31111108539672e-07,0.999999848888894,3.99999944957306e-08,1.11111111291807e-07
0.091,0,1.29890108205368e-07,0.999999850109894,3.99999947931772e-08,1.09890110808779e-07
0.092,0,1.28695652416917e-07,0.99999985130435,3.99999953876024e-08,1.08695654723116e-07
0.093,0,1.27526878326538e-07,0.999999852473124,3.99999944903487e-08,1.07526881081364e-07
0.094,0,1.26382973324456e-07,0.99999985361703,3.99999934919852e-08,1.06382976578463e-07
