Cost,Het,R,WW,RW,RR
0.074,0,1.55135135421687e-07,0.999999824864867,3.99999939623713e-08,1.35135138440502e-07
0.075,0,1.53333327702092e-07,0.999999826666676,3.99999924403584e-08,1.33333331481913e-07
0.076,0,1.5157894511563e-07,0.999999828421058,3.99999933346854e-08,1.31578948448288e-07
0.077,0,1.49870117574942e-07,0.999999830129887,3.99999907440567e-08,1.29870122202913e-07
0.078,0,1.48205125716289e-07,0.999999831794878,3.99999931901458e-08,1.28205129121216e-07
0.079,0,1.46582276565553e-07,0.999999833417727,3.9999993355629e-08,1.26582279887738e-07
0.08,0,1.44999998194468e-07,0.999999835000005,3.99999934171466e-08,1.25000001485895e-07
0.081,0,1.43456788059882e-07,0.999999836543215,3.99999935390435e-08,1.2345679129036e-07
0.082,0,1.41951207096427e-07,0.999999838048798,3.99999905818239e-08,1.21951211805515e-07
0.083,0,1.40481947032695e-07,0.999999839518053,3.99999997805998e-08,1.20481947142395e-07
0.084,0,1.39047626314842e-07,0.999999840952376,3.99999961245515e-08,1.19047628252566e-07
0.085,0,1.37647056592234e-07,0.999999842352946,3.99999940323668e-08,1.17647059576051e-07
0.086,0,1.36279067848426e-07,0.999999843720935,3.99999939105122e-08,1.1627907089317e-07
0.087,0,1.34942525668548e-07,0.999999845057478,3.99999937809641e-08,1.14942528778066e-07
0.088,0,1.33636347929803e-07,0.999999846363657,3.99999897372454e-08,1.1363635306118e-07
0.089,0,1.32359543087139e-07,0.999999847640461,3.99999925532927e-08,1.12359546810492e-07
0.09,0,1.31111123550368e-07,0.999999848888877,3.99999985169091e-08,1.11111124291913e-07
0.091,0,1.29890095670244e-07,0.999999850109909,3.99999904712662e-08,1.09890100434611e-07
0.092,0,1.28695652383321e-07,0.99999985130435,3.99999947948335e-08,1.08695654985904e-07
0.093,0,1.27526880137674e-07,0.999999852473123,3.99999943049016e-08,1.07526882985223e-07
0.094,0,1.26382989344218e-07,0.999999853617012,3.9999998046284e-08,1.06382990321076e-07
0.095,0,1.25263177595241e-07,0.999999854736822,4.00000012116849e-08,1.05263176989399e-07
0.096,0,1.24166675696222e-07,0.999999855833326,3.99999979131158e-08,1.04166676739664e-07
0.097,0,1.23092771250075e-07,0.999999856907233,3.99999911773616e-08,1.03092775661394e-07
