Season,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,0.00502428919447276,50.2427342726031,3.31340049034375e-05,4.57019800401784e-05,3.31340049034375e-05,2.71481084953378e-11,3.76434788076092e-11,4.57019800401784e-05,3.76434788076092e-11,5.2202275668073e-11,1.239361476285e-06,1.239361476285e-06,99999.9881159423,0.00347826054446961,0.00246376811528278,0.00347826054446961,1.20982978529827e-10,8.56962844452991e-11,0.00246376811528277,8.56962844452991e-11,6.07015404726465e-11,4.20289863725503e-08,4.20289863725503e-08,9999.99881159423,0.000347826054446961,0.000246376811528277,0.000347826054446961,1.20982978529827e-11,8.56962844452991e-12,0.000246376811528277,8.56962844452991e-12,6.07015404726465e-12,4.20289863725503e-08,4.20289863725503e-08
2,5.73335461833376e-05,0.573312132079157,3.61477457449107e-06,8.04983265610419e-06,3.61477457449107e-06,4.31359937837879e-11,1.02716977258567e-10,8.04983265610419e-06,1.02716977258567e-10,2.91188241846673e-10,1.71935758927802e-05,1.71935758927802e-05,59451.2066687481,0.00215812931948492,0.00164395448808333,0.00215812931948492,1.647026070005e-10,1.19281369786443e-10,0.00164395448808333,1.19281369786443e-10,2.16454108152991e-10,4.58025905585878e-08,4.58025905585878e-08,37.6820507044523,2.48505036775781e-05,3.42764850301338e-05,2.48505036775781e-05,2.03610813715034e-11,2.82326091057069e-11,3.42764850301338e-05,2.82326091057069e-11,3.91517067510547e-11,1.239361476285e-06,1.239361476285e-06
3,2.30926166981804e-05,0.230919306986427,1.082738975453e-06,2.346173066671e-06,1.082738975453e-06,7.43816831273417e-11,2.68444963710864e-10,2.346173066671e-06,2.68444963710864e-10,1.56002123411637e-09,1.2512841102786e-05,1.2512841102786e-05,35197.9809115815,0.00128922420464287,0.0010036355257728,0.00128922420464287,3.50687831019313e-10,2.34881631910166e-10,0.0010036355257728,2.34881631910166e-10,9.60285730408647e-10,4.68279389504446e-08,4.68279389504446e-08,0.429984099059368,2.7110809308683e-06,6.03737449207815e-06,2.7110809308683e-06,3.23519953378409e-11,7.70377329439252e-11,6.03737449207815e-06,7.70377329439252e-11,2.18391181385005e-10,1.71935758927802e-05,1.71935758927802e-05
4,1.36311570094913e-05,0.136308239577666,5.72885147589492e-07,1.08749634714454e-06,5.72885147589492e-07,1.5295442060607e-10,6.93287658709861e-10,1.08749634714454e-06,6.93287658709861e-10,8.21472728830576e-09,1.01478550644146e-05,1.01478550644146e-05,20838.3592971166,0.000766677168961089,0.000603046358414859,0.000766677168961089,9.8084859364242e-10,5.5048981685132e-10,0.000603046358414859,5.5048981685132e-10,4.59473916418097e-09,4.73353352851112e-08,4.73353352851112e-08,0.17318948023982,8.12054231589749e-07,1.75962980000325e-06,8.12054231589749e-07,5.57862623455063e-11,2.01333722783148e-10,1.75962980000325e-06,2.01333722783148e-10,1.17001592558728e-09,1.2512841102786e-05,1.2512841102786e-05
5,8.06993757172033e-06,0.0806974367485903,3.35769387682421e-07,6.10252416002345e-07,3.35769387682421e-07,4.49303130876198e-10,1.78390702293528e-09,6.10252416002345e-07,1.78390702293528e-09,4.29078884167289e-08,1.02100605244766e-05,1.02100605244766e-05,12336.9902456526,0.000455637900392985,0.000361198150607166,0.000455637900392985,4.06986047074981e-09,1.3713188136194e-09,0.000361198150607166,1.3713188136194e-09,2.28523730938804e-08,4.77461646117284e-08,4.77461646117284e-08,0.10223117968325,4.29663860692119e-07,8.15622260358406e-07,4.29663860692119e-07,1.14715815454553e-10,5.19965744032396e-10,8.15622260358406e-07,5.19965744032396e-10,6.16104546622932e-09,1.01478550644146e-05,1.01478550644146e-05
6,4.7776869563248e-06,0.0477755168588815,1.99219242332959e-07,3.60009670208914e-07,1.99219242332959e-07,1.81779343694628e-09,4.5898105751622e-09,3.60009670208914e-07,4.5898105751622e-09,2.23249126826929e-07,1.44559917193659e-05,1.44559917193659e-05,7303.90171294246,0.000270761135108062,0.000216198669822049,0.000270761135108062,1.95401919436478e-08,3.52562859339001e-09,0.000216198669822049,3.52562859339001e-09,1.16013973915797e-07,4.81537508042969e-08,4.81537508042969e-08,0.0605230775614427,2.51827040761816e-07,4.57689312001759e-07,2.51827040761816e-07,3.36977348157149e-10,1.33793026720146e-09,4.57689312001759e-07,1.33793026720146e-09,3.21809163125466e-08,1.02100605244766e-05,1.02100605244766e-05
7,2.82865266791791e-06,0.0282846687045687,1.18364441332485e-07,2.14785023540568e-07,1.18364441332485e-07,8.61871476605249e-09,1.18460324863617e-08,2.14785023540568e-07,1.18460324863617e-08,1.15936490095756e-06,5.14524306141915e-05,5.14524306141915e-05,4324.14869179341,0.000160898502617053,0.000129391365298076,0.000160898502617053,9.83131552216595e-08,9.35365828319339e-09,0.000129391365298076,9.35365828319339e-09,5.95168628285158e-07,4.86798579341664e-08,4.86798579341664e-08,0.0358316376441611,1.49414431749719e-07,2.70007252656685e-07,1.49414431749719e-07,1.36334507770971e-09,3.44235793137165e-09,2.70007252656685e-07,3.44235793137165e-09,1.67436845120197e-07,1.44559917193659e-05,1.44559917193659e-05
8,1.67519667150732e-06,0.0167454490135601,7.03401535347687e-08,1.28464415739424e-07,7.03401535347687e-08,4.32899281170477e-08,3.08139118808992e-08,1.28464415739424e-07,3.08139118808992e-08,6.01517462275153e-06,0.00037289203431365,0.00037289203431365,2560.03744871156,9.56193250489022e-05,7.74435416766735e-05,9.56193250489022e-05,5.03084832845484e-07,2.59781765526311e-08,7.74435416766735e-05,2.59781765526311e-08,3.06935618749582e-06,5.02387387198559e-08,5.02387387198559e-08,0.0212135015284265,8.87733309993636e-08,1.61088767655426e-07,8.87733309993636e-08,6.46403607453937e-09,8.88452436477129e-09,1.61088767655426e-07,8.88452436477129e-09,8.6952367571817e-07,5.14524306141915e-05,5.14524306141915e-05
9,9.94567016022959e-07,0.0099138535018124,4.18185474932231e-08,7.69085950530789e-08,4.18185474932231e-08,2.21691039336795e-07,8.14518479498938e-08,7.69085950530789e-08,8.14518479498938e-08,3.11946093968589e-05,0.0031697663454912,0.0031697663454912,1515.62589543864,5.68505209004315e-05,4.63757781328876e-05,5.68505209004315e-05,2.59169973784931e-06,7.75145167785097e-08,4.63757781328875e-05,7.75145167785097e-08,1.58704758406828e-05,6.07561685707737e-08,6.07561685707737e-08,0.01255908676017,5.27551151510765e-08,9.6348311804568e-08,5.27551151510765e-08,3.24674460877858e-08,2.31104339106744e-08,9.6348311804568e-08,2.31104339106744e-08,4.51138096706365e-06,0.00037289203431365,0.00037289203431365
10,6.03279438503666e-07,0.00586932546921944,2.49399886188284e-08,4.61647926187703e-08,2.49399886188284e-08,1.14128946225754e-06,2.22017814696977e-07,4.61647926187703e-08,2.22017814696977e-07,0.000161741381163093,0.0269698711772366,0.0269698711772366,897.300091611522,3.39182222593622e-05,2.7857494803984e-05,3.39182222593622e-05,1.33635726452079e-05,2.56274327831705e-07,2.7857494803984e-05,2.56274327831705e-07,8.21755356443409e-05,1.49401864366783e-07,1.49401864366783e-07,0.0074353901263593,3.13639106199173e-08,5.76814462898092e-08,3.13639106199173e-08,1.66268279502596e-07,6.10888859624204e-08,5.76814462898091e-08,6.10888859624204e-08,2.33959570476442e-05,0.0031697663454912,0.0031697663454912
