Season,PlantDensity,SSSSplants,RSSSplants,RRSSplants,SSRSplants,RSRSplants,RRRSplants,SSRRplants,RSRRplants,RRRRplants,R1plants,R2plants,SSSSseeds,RSSSseeds,RRSSseeds,SSRSseeds,RSRSseeds,RRRSseeds,SSRRseeds,RSRRseeds,RRRRseeds,R1seeds,R2seeds,SSSSrhizomes,RSSSrhizomes,RRSSrhizomes,SSRSrhizomes,RSRSrhizomes,RRRSrhizomes,SSRRrhizomes,RSRRrhizomes,RRRRrhizomes,R1rhizomes,R2rhizomes
1,0.137924221282924,1379.238494389,0.0015188136445863,0.00211767162139558,4.79735140656694e-05,5.2828302021812e-11,7.36581452220088e-11,3.39812422968129e-05,3.74200507529019e-11,5.21745243947867e-11,2.0859850343065e-06,4.20289863725503e-08,99999.9881159423,0.00347826054446961,0.00246376811528278,0.00347826054446961,1.20982978529827e-10,8.56962844452991e-11,0.00246376811528277,8.56962844452991e-11,6.07015404726465e-11,4.20289863725503e-08,4.20289863725503e-08,9999.99881159423,0.000347826054446961,0.000246376811528277,0.000347826054446961,1.20982978529827e-11,8.56962844452991e-12,0.000246376811528277,8.56962844452991e-12,6.07015404726465e-12,4.20289863725503e-08,4.20289863725503e-08
2,0.0172127744518494,172.115596762959,0.00317657003940072,0.00896094208402618,6.01319805655124e-06,1.20232090425669e-10,3.11684965766162e-10,4.22948657533277e-06,7.42137982986042e-11,2.20776853098981e-10,6.12872013336459e-05,4.20420111413843e-08,66096.186174922,0.0065143924341516,0.0100328624346975,0.00231943651633984,3.0116365584526e-10,3.48969197807057e-10,0.00161996165894383,1.29502148002612e-10,2.47186468038408e-10,2.01071440170677e-07,4.20550703174425e-08,689.619247194502,0.00075940682229315,0.00105883581069779,2.39867570328347e-05,2.6414151010906e-11,3.68290726110044e-11,1.69906211484064e-05,1.8710025376451e-11,2.60872621973934e-11,2.0859850343065e-06,4.20289863725503e-08
3,0.00627858381253452,62.7420264333584,0.00680137820392971,0.037006570837834,2.20310818140569e-06,2.93575799224145e-10,1.2882735994677e-09,1.53719929780007e-06,1.44145515733765e-10,9.11554837990885e-10,0.000643572875109498,4.2057255145409e-08,39989.5210765645,0.0148291323955581,0.0389410538635526,0.00140564510296792,8.37947063957551e-10,1.3586579119879e-09,0.000979149995038358,2.33518999607761e-10,9.58642970625776e-10,1.15919262276656e-06,4.20603305518271e-08,86.0577983814795,0.00158828501970036,0.00448047104201309,3.00659902827562e-06,6.01160452128345e-11,1.55842482883081e-10,2.11474328766638e-06,3.71068991493021e-11,1.1038842654949e-10,6.12872013336459e-05,4.20420111413843e-08
4,0.0035271043397266,35.1046366929204,0.0156148867394282,0.150789713496781,1.2349103636631e-06,7.95913007511185e-10,5.25559921349082e-09,8.59152320119873e-07,2.81866317978694e-10,3.7133103466835e-09,0.00449652607630508,4.20636389464335e-08,23987.504091299,0.0398047965488566,0.152969724682714,0.000844025788616815,2.65125368680085e-09,5.34943293969629e-09,0.000586991911890684,4.68025057444509e-10,3.76422393223898e-09,7.20669951285564e-06,4.20637706171203e-08,31.3710132166792,0.00340068910196485,0.018503285418917,1.10155409070285e-06,1.46787899612073e-10,6.44136799733848e-10,7.68599648900036e-07,7.20727578668827e-11,4.55777418995443e-10,0.000643572875109498,4.2057255145409e-08
5,0.00215331053748524,20.8827945384166,0.0399121402686348,0.61039741068715,7.35384441959653e-07,2.42499561168159e-09,2.13019497602963e-08,5.1077619662134e-07,5.64460878068477e-10,1.502795424503e-08,0.0292736931191663,4.2071233555948e-08,14376.1035501727,0.122481352658058,0.607821260549216,0.000506314521791953,9.23287184220751e-09,2.12897523086759e-08,0.000351602750839083,1.01689965972985e-09,1.49544332519359e-08,4.65375022881117e-05,4.20670652857851e-08,17.5523183464602,0.0078074433697141,0.0753948567483907,6.17455181831548e-07,3.97956503755593e-10,2.62779960674541e-09,4.29576160059936e-07,1.40933158989347e-10,1.85665517334175e-09,0.00449652607630508,4.20636389464335e-08
6,0.00150834718746222,12.5045457113116,0.115183750078914,2.46374151073397,4.40750722972938e-07,8.12077301871049e-09,8.61223406445239e-08,3.05689132035081e-07,1.18310867799045e-09,6.06316834239373e-08,0.167158699146813,4.20991166843674e-08,8614.95884453933,0.413846002641421,2.43293901335584,0.000303686041989967,3.37355337497071e-08,8.54500422166588e-08,0.000210590356999034,2.43999308569271e-09,5.98007173291195e-08,0.000306326474963585,4.20704765730064e-08,10.4413972692083,0.0199560701343174,0.305198705343575,3.67692220979827e-07,1.2124978058408e-09,1.06509748801481e-08,2.5538809831067e-07,2.82230439034238e-10,7.513977122515e-09,0.0292736931191663,4.2071233555948e-08
7,0.00177929010069856,7.49231771749988,0.355547026854661,9.94503519164802,2.64290449994321e-07,2.75737120584957e-08,3.49086765765246e-07,1.83077646481189e-07,2.6739156180688e-09,2.44280538059722e-07,0.568924050642006,4.21801685837154e-08,5162.18225765339,1.37140788403793,9.82262092446362,0.000182111854476481,1.15874279537112e-07,3.48931647522552e-07,0.000126133368254805,6.60007260403918e-09,2.3995087070791e-07,0.00203123150282708,4.20746963584003e-08,6.25227285565579,0.0575918750394569,1.23187075536698,2.20375361486469e-07,4.06038650935524e-09,4.3061170322262e-08,1.5284456601754e-07,5.91554338995226e-10,3.03158417119687e-08,0.167158699146813,4.20991166843674e-08
8,0.0045775330976679,4.48880557684023,0.986439888926964,40.3000827425099,1.58413217375218e-07,7.90132037669154e-08,1.43092916479489e-06,1.09660881649045e-07,6.64388550988795e-09,9.83741577217415e-07,0.891163521357289,4.22547275153572e-08,3092.78300894293,3.38328791604628,40.2527503112596,0.000109152280669743,2.81610439694267e-07,1.4757502633898e-06,7.55542589892289e-05,1.95145340403433e-08,9.65069137717623e-07,0.0133733387417399,4.20841901141594e-08,3.74615885874994,0.177773513427331,4.97251759582401,1.3214522499716e-07,1.37868560292479e-08,1.74543382882623e-07,9.15388232405945e-08,1.3369578090344e-09,1.22140269029861e-07,0.568924050642006,4.21801685837154e-08
9,0.0168808148831216,2.68976089270578,2.27682025502554,163.841557449393,9.49545933030811e-08,1.80023775873387e-07,5.91276134837367e-06,6.57059374924895e-08,1.73366926577137e-08,3.96330933517774e-06,0.977322354957005,4.2297850391347e-08,1853.37859833892,5.86672731582646,165.201434942067,6.5430907149032e-05,4.51947678670431e-07,6.232204345648e-06,4.52742841293027e-05,5.48366910045592e-08,3.89366245062245e-06,0.0830522205742249,4.21252410318155e-08,2.24440278842011,0.493219944463482,20.150041371255,7.92066086876092e-08,3.95066018834577e-08,7.15464582397447e-07,5.48304408245226e-08,3.32194275494398e-09,4.91870788608708e-07,0.891163521357289,4.22547275153572e-08
10,0.0672714369068938,1.61365973931269,4.74179522679457,666.358873194158,5.70190990062061e-08,3.62155052620203e-07,2.44232461548028e-05,3.94138358437697e-08,4.40668254884728e-08,1.59827709967969e-05,0.994076895283553,4.23470392802394e-08,1112.29539479068,9.61875625130241,673.129064552643,3.93075262164229e-05,6.62771701544894e-07,2.57366762539469e-05,2.71675563896809e-05,1.34189634922636e-07,1.57582495566337e-05,0.377672491449647,4.2290613065951e-08,1.34488044635289,1.13841012751277,81.9207787246966,4.74772966515406e-08,9.00118879366933e-08,2.95638067418684e-06,3.28529687462447e-08,8.66834632885687e-09,1.98165466758887e-06,0.977322354957005,4.2297850391347e-08
